Instruction,URL,Youtube timestamp,Youtube Link
github pages,https://www.youtube.com/watch?v=4IkIdXJBC6o&feature=youtu.be,1:17:45,https://youtu.be/4IkIdXJBC6o
github markdown symbols pages ,https://www.youtube.com/watch?v=4IkIdXJBC6o&feature=youtu.be,1:20:00,https://youtu.be/4IkIdXJBC6o
Basics of markdown language github ,https://www.youtube.com/watch?v=4IkIdXJBC6o&feature=youtu.be,1:41:26,https://youtu.be/4IkIdXJBC6o
Mod07 repository page ,https://github.com/ksteve3/ITFnd100-Mod07/docs/index.md,1:23:10,https://youtu.be/4IkIdXJBC6o
Editing github index page for webpag ,https://www.youtube.com/watch?v=4IkIdXJBC6o&feature=youtu.be,1:23:24,https://youtu.be/4IkIdXJBC6o
adding pictures ,https://www.youtube.com/watch?v=4IkIdXJBC6o&feature=youtu.be,1:24:30,https://youtu.be/4IkIdXJBC6o
convert to github webpage ,https://www.youtube.com/watch?v=4IkIdXJBC6o&feature=youtu.be,1:27:30,https://youtu.be/4IkIdXJBC6o
working with github pages ,https://www.youtube.com/watch?v=4IkIdXJBC6o&feature=youtu.be,1:28:32,https://youtu.be/4IkIdXJBC6o
adding remote images ,https://www.youtube.com/watch?v=4IkIdXJBC6o&feature=youtu.be,1:41:30,https://youtu.be/4IkIdXJBC6o
!images from repository trouble shooting ,https://www.youtube.com/watch?v=4IkIdXJBC6o&feature=youtu.be,1:50:30,https://youtu.be/4IkIdXJBC6o
!wrong address example:,https://github.com/ksteve3/ITFnd100-Mod07/blob/master/docs/Snips/test%20github%20image.PNG,1:50:30,https://youtu.be/4IkIdXJBC6o
!right address example:,https://ksteve3.github.io/ITFnd100-Mod07/Snips/test%20github%20image.PNG,1:50:30,https://youtu.be/4IkIdXJBC6o
!basics of writing and formatting syntax ,https://help.github.com/en/github/writing-on-github/basic-writing-and-formatting-syntax ,1:17:45,https://youtu.be/4IkIdXJBC6o
